act,scene,scene_line,role,file_name,file_lineno,line
I,I,0,---,1533-0.txt,121,Thunder and Lightning. Enter three Witches.
I,I,1,FIRST WITCH,1533-0.txt,124,When shall we three meet again?
I,I,2,FIRST WITCH,1533-0.txt,125,"In thunder, lightning, or in rain?"
I,I,3,SECOND WITCH,1533-0.txt,128,"When the hurlyburly’s done,"
I,I,4,SECOND WITCH,1533-0.txt,129,When the battle’s lost and won.
I,I,5,THIRD WITCH,1533-0.txt,132,That will be ere the set of sun.
I,I,6,FIRST WITCH,1533-0.txt,135,Where the place?
I,I,7,SECOND WITCH,1533-0.txt,138,Upon the heath.
I,I,8,THIRD WITCH,1533-0.txt,141,There to meet with Macbeth.
I,I,9,FIRST WITCH,1533-0.txt,144,"I come, Graymalkin!"
I,I,10,SECOND WITCH,1533-0.txt,147,Paddock calls.
I,I,11,THIRD WITCH,1533-0.txt,150,Anon.
I,I,12,ALL,1533-0.txt,153,"Fair is foul, and foul is fair:"
I,I,13,ALL,1533-0.txt,154,Hover through the fog and filthy air.
I,I,13,---,1533-0.txt,156,[Exeunt.]
I,II,0,---,1533-0.txt,160,"Alarum within. Enter King Duncan, Malcolm, Donalbain, Lennox, with Attendants, meeting a bleeding Captain."
I,II,1,DUNCAN,1533-0.txt,164,"What bloody man is that? He can report,"
I,II,2,DUNCAN,1533-0.txt,165,"As seemeth by his plight, of the revolt"
I,II,3,DUNCAN,1533-0.txt,166,The newest state.
I,II,4,MALCOLM,1533-0.txt,169,This is the sergeant
I,II,5,MALCOLM,1533-0.txt,170,"Who, like a good and hardy soldier, fought"
I,II,6,MALCOLM,1533-0.txt,171,"’Gainst my captivity.— Hail, brave friend!"
I,II,7,MALCOLM,1533-0.txt,172,Say to the King the knowledge of the broil
I,II,8,MALCOLM,1533-0.txt,173,As thou didst leave it.
I,II,9,SOLDIER,1533-0.txt,176,Doubtful it stood;
I,II,10,SOLDIER,1533-0.txt,177,As two spent swimmers that do cling together
I,II,11,SOLDIER,1533-0.txt,178,And choke their art. The merciless Macdonwald
I,II,12,SOLDIER,1533-0.txt,179,"(Worthy to be a rebel, for to that"
I,II,13,SOLDIER,1533-0.txt,180,The multiplying villainies of nature
I,II,14,SOLDIER,1533-0.txt,181,Do swarm upon him) from the Western Isles
I,II,15,SOLDIER,1533-0.txt,182,Of kerns and gallowglasses is supplied;
I,II,16,SOLDIER,1533-0.txt,183,"And Fortune, on his damned quarrel smiling,"
I,II,17,SOLDIER,1533-0.txt,184,Show’d like a rebel’s whore. But all’s too weak;
I,II,18,SOLDIER,1533-0.txt,185,"For brave Macbeth (well he deserves that name),"
I,II,19,SOLDIER,1533-0.txt,186,"Disdaining Fortune, with his brandish’d steel,"
I,II,20,SOLDIER,1533-0.txt,187,"Which smok’d with bloody execution,"
I,II,21,SOLDIER,1533-0.txt,188,"Like Valour’s minion, carv’d out his passage,"
I,II,22,SOLDIER,1533-0.txt,189,Till he fac’d the slave;
I,II,23,SOLDIER,1533-0.txt,190,"Which ne’er shook hands, nor bade farewell to him,"
I,II,24,SOLDIER,1533-0.txt,191,"Till he unseam’d him from the nave to the chops,"
I,II,25,SOLDIER,1533-0.txt,192,And fix’d his head upon our battlements.
I,II,26,DUNCAN,1533-0.txt,195,O valiant cousin! worthy gentleman!
I,II,27,SOLDIER,1533-0.txt,198,As whence the sun ’gins his reflection
I,II,28,SOLDIER,1533-0.txt,199,"Shipwracking storms and direful thunders break,"
I,II,29,SOLDIER,1533-0.txt,200,"So from that spring, whence comfort seem’d to come"
I,II,30,SOLDIER,1533-0.txt,201,"Discomfort swells. Mark, King of Scotland, mark:"
I,II,31,SOLDIER,1533-0.txt,202,"No sooner justice had, with valour arm’d,"
I,II,32,SOLDIER,1533-0.txt,203,"Compell’d these skipping kerns to trust their heels,"
I,II,33,SOLDIER,1533-0.txt,204,"But the Norweyan lord, surveying vantage,"
I,II,34,SOLDIER,1533-0.txt,205,"With furbish’d arms and new supplies of men,"
I,II,35,SOLDIER,1533-0.txt,206,Began a fresh assault.
I,II,36,DUNCAN,1533-0.txt,209,Dismay’d not this
I,II,37,DUNCAN,1533-0.txt,210,"Our captains, Macbeth and Banquo?"
I,II,38,SOLDIER,1533-0.txt,213,Yes;
I,II,39,SOLDIER,1533-0.txt,214,"As sparrows eagles, or the hare the lion."
I,II,40,SOLDIER,1533-0.txt,215,"If I say sooth, I must report they were"
I,II,41,SOLDIER,1533-0.txt,216,As cannons overcharg’d with double cracks;
I,II,42,SOLDIER,1533-0.txt,217,So they
I,II,43,SOLDIER,1533-0.txt,218,Doubly redoubled strokes upon the foe:
I,II,44,SOLDIER,1533-0.txt,219,"Except they meant to bathe in reeking wounds,"
I,II,45,SOLDIER,1533-0.txt,220,"Or memorize another Golgotha,"
I,II,46,SOLDIER,1533-0.txt,221,I cannot tell— 
I,II,47,SOLDIER,1533-0.txt,222,"But I am faint, my gashes cry for help."
I,II,48,DUNCAN,1533-0.txt,225,So well thy words become thee as thy wounds:
I,II,49,DUNCAN,1533-0.txt,226,"They smack of honour both.— Go, get him surgeons."
I,II,49,---,1533-0.txt,228,"[Exit Captain, attended.]"
I,II,49,---,1533-0.txt,230,Enter Ross and Angus.
I,II,50,DUNCAN,1533-0.txt,232,Who comes here?
I,II,51,MALCOLM,1533-0.txt,235,The worthy Thane of Ross.
I,II,52,LENNOX,1533-0.txt,238,What a haste looks through his eyes! So should he look
I,II,53,LENNOX,1533-0.txt,239,That seems to speak things strange.
I,II,54,ROSS,1533-0.txt,242,God save the King!
I,II,55,DUNCAN,1533-0.txt,245,"Whence cam’st thou, worthy thane?"
I,II,56,ROSS,1533-0.txt,248,"From Fife, great King,"
I,II,57,ROSS,1533-0.txt,249,Where the Norweyan banners flout the sky
I,II,58,ROSS,1533-0.txt,250,And fan our people cold.
I,II,59,ROSS,1533-0.txt,251,"Norway himself, with terrible numbers,"
I,II,60,ROSS,1533-0.txt,252,"Assisted by that most disloyal traitor,"
I,II,61,ROSS,1533-0.txt,253,"The Thane of Cawdor, began a dismal conflict;"
I,II,62,ROSS,1533-0.txt,254,"Till that Bellona’s bridegroom, lapp’d in proof,"
I,II,63,ROSS,1533-0.txt,255,"Confronted him with self-comparisons,"
I,II,64,ROSS,1533-0.txt,256,"Point against point, rebellious arm ’gainst arm,"
I,II,65,ROSS,1533-0.txt,257,"Curbing his lavish spirit: and, to conclude,"
I,II,66,ROSS,1533-0.txt,258,The victory fell on us.
I,II,67,DUNCAN,1533-0.txt,261,Great happiness!
I,II,68,ROSS,1533-0.txt,264,That now
I,II,69,ROSS,1533-0.txt,265,"Sweno, the Norways’ king, craves composition;"
I,II,70,ROSS,1533-0.txt,266,Nor would we deign him burial of his men
I,II,71,ROSS,1533-0.txt,267,Till he disbursed at Saint Colme’s Inch
I,II,72,ROSS,1533-0.txt,268,Ten thousand dollars to our general use.
I,II,73,DUNCAN,1533-0.txt,271,No more that Thane of Cawdor shall deceive
I,II,74,DUNCAN,1533-0.txt,272,"Our bosom interest. Go pronounce his present death,"
I,II,75,DUNCAN,1533-0.txt,273,And with his former title greet Macbeth.
I,II,76,ROSS,1533-0.txt,276,I’ll see it done.
I,II,77,DUNCAN,1533-0.txt,279,"What he hath lost, noble Macbeth hath won."
I,II,77,---,1533-0.txt,281,[Exeunt.]
I,III,0,---,1533-0.txt,285,Thunder. Enter the three Witches.
I,III,1,FIRST WITCH,1533-0.txt,288,"Where hast thou been, sister?"
I,III,2,SECOND WITCH,1533-0.txt,291,Killing swine.
I,III,3,THIRD WITCH,1533-0.txt,294,"Sister, where thou?"
I,III,4,FIRST WITCH,1533-0.txt,297,"A sailor’s wife had chestnuts in her lap,"
I,III,5,FIRST WITCH,1533-0.txt,298,"And mounch’d, and mounch’d, and mounch’d. “Give me,” quoth I."
I,III,6,FIRST WITCH,1533-0.txt,299,"“Aroint thee, witch!” the rump-fed ronyon cries."
I,III,7,FIRST WITCH,1533-0.txt,300,"Her husband’s to Aleppo gone, master o’ th’ _Tiger:_"
I,III,8,FIRST WITCH,1533-0.txt,301,"But in a sieve I’ll thither sail,"
I,III,9,FIRST WITCH,1533-0.txt,302,"And, like a rat without a tail,"
I,III,10,FIRST WITCH,1533-0.txt,303,"I’ll do, I’ll do, and I’ll do."
I,III,11,SECOND WITCH,1533-0.txt,306,I’ll give thee a wind.
I,III,12,FIRST WITCH,1533-0.txt,309,Th’art kind.
I,III,13,THIRD WITCH,1533-0.txt,312,And I another.
I,III,14,FIRST WITCH,1533-0.txt,315,"I myself have all the other,"
I,III,15,FIRST WITCH,1533-0.txt,316,"And the very ports they blow,"
I,III,16,FIRST WITCH,1533-0.txt,317,All the quarters that they know
I,III,17,FIRST WITCH,1533-0.txt,318,I’ the shipman’s card.
I,III,18,FIRST WITCH,1533-0.txt,319,I will drain him dry as hay:
I,III,19,FIRST WITCH,1533-0.txt,320,Sleep shall neither night nor day
I,III,20,FIRST WITCH,1533-0.txt,321,Hang upon his pent-house lid;
I,III,21,FIRST WITCH,1533-0.txt,322,He shall live a man forbid.
I,III,22,FIRST WITCH,1533-0.txt,323,"Weary sev’n-nights nine times nine,"
I,III,23,FIRST WITCH,1533-0.txt,324,"Shall he dwindle, peak, and pine:"
I,III,24,FIRST WITCH,1533-0.txt,325,"Though his bark cannot be lost,"
I,III,25,FIRST WITCH,1533-0.txt,326,Yet it shall be tempest-tost.
I,III,26,FIRST WITCH,1533-0.txt,327,Look what I have.
I,III,27,SECOND WITCH,1533-0.txt,330,"Show me, show me."
I,III,28,FIRST WITCH,1533-0.txt,333,"Here I have a pilot’s thumb,"
I,III,29,FIRST WITCH,1533-0.txt,334,Wrack’d as homeward he did come.
I,III,29,---,1533-0.txt,336,[Drum within.]
I,III,30,THIRD WITCH,1533-0.txt,339,"A drum, a drum!"
I,III,31,THIRD WITCH,1533-0.txt,340,Macbeth doth come.
I,III,32,ALL,1533-0.txt,343,"The Weird Sisters, hand in hand,"
I,III,33,ALL,1533-0.txt,344,"Posters of the sea and land,"
I,III,34,ALL,1533-0.txt,345,"Thus do go about, about:"
I,III,35,ALL,1533-0.txt,346,"Thrice to thine, and thrice to mine,"
I,III,36,ALL,1533-0.txt,347,"And thrice again, to make up nine."
I,III,37,ALL,1533-0.txt,348,Peace!— the charm’s wound up.
I,III,37,---,1533-0.txt,350,Enter Macbeth and Banquo.
I,III,38,MACBETH,1533-0.txt,353,So foul and fair a day I have not seen.
I,III,39,BANQUO,1533-0.txt,356,"How far is’t call’d to Forres?— What are these,"
I,III,40,BANQUO,1533-0.txt,357,"So wither’d, and so wild in their attire,"
I,III,41,BANQUO,1533-0.txt,358,"That look not like the inhabitants o’ th’ earth,"
I,III,42,BANQUO,1533-0.txt,359,And yet are on’t?— Live you? or are you aught
I,III,43,BANQUO,1533-0.txt,360,"That man may question? You seem to understand me,"
I,III,44,BANQUO,1533-0.txt,361,By each at once her choppy finger laying
I,III,45,BANQUO,1533-0.txt,362,"Upon her skinny lips. You should be women,"
I,III,46,BANQUO,1533-0.txt,363,And yet your beards forbid me to interpret
